Employee Number,Employee Name,Date of Birth,Sex,Citizenship,Race,State,Zip,Marital Status,Department,Manager Name,Position,Performance Rank,Performance Score,Pay Rate,Employee Source,Employment Status,Date of Hire,Date of Termination,Reason for Termination
1103024456,"Brown, Mia",11/24/87,Female,US Citizen,African American,MA,1450,Married,Admin Offices,Brandon R. LeBlanc,Accountant I,3,Fully Meets,28.5,Diversity Job Fair,Active,10/27/12,,N/A
1106026572,"LaRotonda, William",4/26/84,Male,US Citizen,African American,MA,1460,Divorced,Admin Offices,Brandon R. LeBlanc,Accountant I,3,Fully Meets,23,Website Banner Ads,Active,1/6/18,,N/A
1302053333,"Steans, Tyrone",9/1/86,Male,US Citizen,White,MA,2703,Single,Admin Offices,Brandon R. LeBlanc,Accountant I,3,Fully Meets,29,Internet Search,Active,9/29/18,,N/A
1211050782,"Howard, Estelle",9/16/85,Female,US Citizen,White,MA,2170,Married,Admin Offices,Brandon R. LeBlanc,Administrative Assistant,0,N/A,21.5,Pay Per Click - Google,Active,2/16/19,,N/A
1307059817,"Singh, Nan",5/19/88,Female,US Citizen,White,MA,2330,Single,Admin Offices,Brandon R. LeBlanc,Administrative Assistant,0,N/A,16.56,Website Banner Ads,Active,5/1/19,,N/A
711007713,"Smith, Leigh Ann",6/14/87,Female,US Citizen,Asian,MA,1844,Married,Admin Offices,Brandon R. LeBlanc,Administrative Assistant,3,Fully Meets,20.5,Diversity Job Fair,Voluntarily Terminated,9/26/15,9/25/17,Another Position / Career Change
1102024115,"LeBlanc, Brandon  R",6/10/84,Male,US Citizen,White,MA,1460,Married,Admin Offices,Janet King,Shared Services Manager,3,Fully Meets,55,Monster.com,Active,1/5/20,,N/A
1206043417,"Quinn, Sean",11/6/84,Male,Eligible NonCitizen,African American,MA,2045,Married,Admin Offices,Janet King,Shared Services Manager,3,Fully Meets,55,Diversity Job Fair,Voluntarily Terminated,2/21/15,8/15/19,Another Position / Career Change
1307060188,"Boutwell, Bonalyn",4/4/87,Female,US Citizen,Asian,MA,2468,Married,Admin Offices,Brandon R. LeBlanc,Sr. Accountant,3,Fully Meets,34.95,Diversity Job Fair,Active,2/16/19,,N/A
1201031308,"Foster-Baker, Amy",4/16/79,Female,US Citizen,White,MA,2050,Married,Admin Offices,Board of Directors,Sr. Accountant,3,Fully Meets,34.95,Other,Active,1/5/13,,N/A
1001495124,"King, Janet",9/21/54,Female,US Citizen,White,MA,1902,Married,Executive Office,Board of Directors,President & CEO,3,Fully Meets,80,Pay Per Click - Google,Active,7/2/16,,N/A
1112030816,"Zamora, Jennifer",8/30/79,Female,US Citizen,White,MA,2067,Single,IT/IS,Janet King,CIO,5,Exceptional,65,Employee Referral,Active,4/10/14,,N/A
1102024056,"Becker, Renee",4/4/86,Female,US Citizen,White,MA,2026,Single,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,43,Search Engine - Google Bing Yahoo,Terminated for Cause,7/7/18,9/12/19,Performance
905013738,"Goble, Taisha",10/23/71,Female,US Citizen,White,MA,2127,Single,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,48.5,Glassdoor,Terminated for Cause,2/16/19,3/15/19,Gross Misconduct
1410071156,"Hernandez, Daniff",8/7/86,Male,US Citizen,African American,MA,1960,Married,IT/IS,Simon Roup,Database Administrator,0,N/A,40.1,Employee Referral,Terminated for Cause,2/16/19,2/22/19,Gross Misconduct
1105025718,"Horton, Jayne",2/21/84,Female,US Citizen,White,MA,2493,Single,IT/IS,Simon Roup,Database Administrator,0,N/A,34,Glassdoor,Active,3/30/19,,N/A
1003018246,"Johnson, Noelle",11/7/86,Female,US Citizen,Asian,MA,2301,Married,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,40,Glassdoor,Leave of Absence,1/5/19,,N/A
1406068403,"Murray, Thomas",7/4/88,Male,US Citizen,African American,TX,78230,Divorced,IT/IS,Simon Roup,Database Administrator,5,Exceptional,35.5,Diversity Job Fair,Active,11/10/18,,N/A
1102023965,"Pearson, Randall",9/5/84,Male,US Citizen,White,MA,2747,Married,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,41,Employee Referral,Voluntarily Terminated,12/1/18,5/1/20,Performance
1108027853,"Petrowsky, Thelma",9/16/84,Female,US Citizen,Asian,MA,1886,Married,IT/IS,Simon Roup,Database Administrator,5,Exceptional,42.75,Employee Referral,Active,11/10/18,,N/A
1407068885,"Roby, Lori",10/11/81,Female,US Citizen,White,MA,1886,Married,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,39.55,Employee Referral,Active,2/16/19,,N/A
1203032255,"Rogers, Ivan",8/26/86,Male,US Citizen,White,MA,1810,Married,IT/IS,Simon Roup,Database Administrator,0,N/A,42.2,Pay Per Click - Google,Active,3/30/19,,N/A
1111030148,"Salter, Jason",12/17/87,Male,US Citizen,African American,MA,2452,Divorced,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,45,Vendor Referral,Voluntarily Terminated,1/5/19,10/31/19,Working Hours
808010278,"Simard, Kramer",2/8/70,Male,US Citizen,White,MA,2110,Married,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,30.2,Employee Referral,Active,1/5/19,,N/A
1110029732,"Zhou, Julia",2/24/79,Female,US Citizen,White,MA,2148,Single,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,31.4,Employee Referral,Active,3/30/19,,N/A
1192991000,"Foss, Jason",7/5/80,Male,US Citizen,African American,MA,1460,Single,IT/IS,Jennifer Zamora,IT Director,5,Exceptional,65,Professional Society,Active,4/15/15,,N/A
1106026933,"Roup,Simon",4/5/73,Male,US Citizen,White,MA,2481,Single,IT/IS,Jennifer Zamora,IT Manager - DB,3,Fully Meets,62,Professional Society,Active,1/20/17,,N/A
1001175250,"Ruiz, Ricardo",1/4/64,Male,US Citizen,Hispanic,MA,1915,Divorced,IT/IS,Jennifer Zamora,IT Manager - DB,3,Fully Meets,21,Diversity Job Fair,Voluntarily Terminated,1/9/16,11/4/19,Working Hours
1011022863,"Monroe, Peter",10/5/86,Male,Eligible NonCitizen,Hispanic,MA,2134,Married,IT/IS,Jennifer Zamora,IT Manager - Infra,2,Needs Improvement,63,Diversity Job Fair,Active,2/15/16,,N/A
1101023754,"Dougall, Eric",7/9/70,Male,US Citizen,White,MA,1886,Single,IT/IS,Jennifer Zamora,IT Manager - Support,4,Exceeds,64,Professional Society,Active,1/5/18,,N/A
